timestamp,open,high,low,close,volume,Denominated_Coin_Volume
2025-08-15 17:00:00+08:00,3.1142,3.1229,3.1136,3.1176,1118911.2,3489724.42824
2025-08-15 17:15:00+08:00,3.1176,3.1179,3.0976,3.0997,3086166,9583006.64976
2025-08-15 17:30:00+08:00,3.0997,3.1084,3.0991,3.1056,1830697.2,5682413.95308
2025-08-15 17:45:00+08:00,3.1056,3.11,3.0954,3.1025,1713721.2,5317254.70524
2025-08-15 18:00:00+08:00,3.1025,3.116,3.1019,3.1069,1467416.4,4562413.80348
2025-08-15 18:15:00+08:00,3.1069,3.1209,3.1055,3.113,1101508.8,3430372.7214
2025-08-15 18:30:00+08:00,3.113,3.1155,3.1071,3.1121,880869.6,2740406.076
2025-08-15 18:45:00+08:00,3.1121,3.114,3.1,3.1055,1039914,3228661.3122
2025-08-15 19:00:00+08:00,3.1055,3.1151,3.1051,3.1073,829110,2578042.42548
2025-08-15 19:15:00+08:00,3.1073,3.1086,3.0957,3.1005,1205449.2,3739317.384
2025-08-15 19:30:00+08:00,3.1005,3.1098,3.0977,3.1079,969488.4,3009643.81896
2025-08-15 19:45:00+08:00,3.1079,3.1174,3.1079,3.11,1029079.2,3203952.61416
2025-08-15 20:00:00+08:00,3.11,3.1199,3.1066,3.1175,1360624.8,4238476.06128
2025-08-15 20:15:00+08:00,3.1175,3.1187,3.0959,3.1082,2902502.4,9008906.92884
2025-08-15 20:30:00+08:00,3.1082,3.1394,3.0968,3.1197,13696080,42716641.03884
2025-08-15 20:45:00+08:00,3.1197,3.1273,3.1095,3.1122,2320095.6,7233346.42692
2025-08-15 21:00:00+08:00,3.1122,3.1217,3.1039,3.107,1650678,5136382.07508
2025-08-15 21:15:00+08:00,3.107,3.1141,3.1025,3.1088,1737967.2,5400975.43608
2025-08-15 21:30:00+08:00,3.1088,3.1123,3.081,3.0823,7695956.4,23809235.3916
2025-08-15 21:45:00+08:00,3.0823,3.0899,3.0704,3.0831,6478567.2,19947180.681
2025-08-15 22:00:00+08:00,3.0831,3.0995,3.0699,3.0902,4978668,15358963.39212
2025-08-15 22:15:00+08:00,3.0902,3.0987,3.0704,3.0737,2552798.4,7865573.0478
2025-08-15 22:30:00+08:00,3.0737,3.0809,3.0667,3.0695,2226940.8,6843183.28236
2025-08-15 22:45:00+08:00,3.0695,3.0745,3.0535,3.0617,6403195.2,19606268.25492
2025-08-15 23:00:00+08:00,3.0617,3.0643,3.0436,3.0536,3488863.2,10646582.36298
2025-08-15 23:15:00+08:00,3.0536,3.0623,3.0214,3.0244,10407273,31630125.53865
2025-08-15 23:30:00+08:00,3.0244,3.0434,3.0132,3.0143,9004467,27236365.7286
2025-08-15 23:45:00+08:00,3.0143,3.035,3.0093,3.0257,6845182.5,20680885.13385
2025-08-16 00:00:00+08:00,3.0257,3.0294,3.0032,3.0091,6390354,19253047.8816
2025-08-16 00:15:00+08:00,3.0091,3.0267,3.0008,3.0191,4259961,12832064.15055
2025-08-16 00:30:00+08:00,3.0191,3.0342,3.0182,3.0243,3630039,10992220.12035
2025-08-16 00:45:00+08:00,3.0243,3.041,3.0242,3.0361,2032327.5,6169329.50955
2025-08-16 01:00:00+08:00,3.0361,3.0386,3.0224,3.0287,3104775,9413994.12795
2025-08-16 01:15:00+08:00,3.0287,3.066,3.0202,3.0546,10186872,31052827.5405
2025-08-16 01:30:00+08:00,3.0546,3.0619,3.0424,3.0606,3072076.5,9378503.63205
2025-08-16 01:45:00+08:00,3.0606,3.0608,3.0465,3.0551,1186891.5,3625176.10515
2025-08-16 02:00:00+08:00,3.0551,3.06,3.0464,3.0534,1145754,3497766.51615
2025-08-16 02:15:00+08:00,3.0534,3.065,3.0519,3.065,2202684,6741694.89705
