timestamp,open,high,low,close,volume,Denominated_Coin_Volume
2025-08-15 17:00:00+08:00,4639.35,4651.6,4639.13,4649.69,4471.476,20777416.87872
2025-08-15 17:15:00+08:00,4649.69,4650.19,4616.67,4618.84,14204.652,65773707.72564
2025-08-15 17:30:00+08:00,4618.84,4632.27,4618.83,4627.42,9590.376,44360302.95252
2025-08-15 17:45:00+08:00,4627.42,4634.94,4611.23,4622.68,15963.54,73733034.26832
2025-08-15 18:00:00+08:00,4622.68,4638.55,4622.68,4631.64,10351.476,47951221.92432
2025-08-15 18:15:00+08:00,4631.64,4645.89,4627.81,4639.66,10785.756,50025100.18368
2025-08-15 18:30:00+08:00,4639.66,4648.74,4634.37,4646.67,13585.608,63101928.86844
2025-08-15 18:45:00+08:00,4646.67,4647.19,4633.41,4634.01,6796.752,31524678.55632
2025-08-15 19:00:00+08:00,4634.01,4646.25,4634,4638.97,7907.688,36704683.34508
2025-08-15 19:15:00+08:00,4638.97,4639.28,4622.96,4623.95,11116.644,51469340.53272
2025-08-15 19:30:00+08:00,4623.95,4640.96,4621.38,4637.71,9112.068,42203702.81484
2025-08-15 19:45:00+08:00,4637.71,4643.12,4631.78,4632,8420.856,39058586.21868
2025-08-15 20:00:00+08:00,4632,4641.8,4626.11,4636.85,9064.524,41994926.97876
2025-08-15 20:15:00+08:00,4636.85,4640,4606.25,4612.05,24260.52,112004918.8308
2025-08-15 20:30:00+08:00,4612.05,4667.12,4591.14,4627.93,153764.088,712279457.43792
2025-08-15 20:45:00+08:00,4627.93,4645.31,4625.51,4626.18,15720.684,72909104.98896
2025-08-15 21:00:00+08:00,4626.18,4629.3,4601.79,4608.79,20033.856,92437366.82652
2025-08-15 21:15:00+08:00,4608.79,4618.4,4603,4610.35,13691.964,63122859.84324
2025-08-15 21:30:00+08:00,4610.35,4616.62,4559.39,4559.74,82867.752,380142202.74132
2025-08-15 21:45:00+08:00,4559.74,4567.81,4532.12,4539.38,58909.164,268156660.92924
2025-08-15 22:00:00+08:00,4539.38,4564.8,4520.01,4559.71,67082.088,305068356.21564
2025-08-15 22:15:00+08:00,4559.71,4576.22,4538.03,4544.91,36897.792,168071920.9962
2025-08-15 22:30:00+08:00,4544.91,4557.5,4526,4526.07,32353.308,146855396.63196
2025-08-15 22:45:00+08:00,4526.07,4532.09,4470.42,4491.72,92099.808,414123320.37324
2025-08-15 23:00:00+08:00,4491.72,4498,4462.78,4482.17,47645.847,213406115.21505
2025-08-15 23:15:00+08:00,4482.17,4489.66,4427.28,4433.49,123722.82,550771735.43865
2025-08-15 23:30:00+08:00,4433.49,4467.29,4405.93,4413.55,106387.305,471665011.12275
2025-08-15 23:45:00+08:00,4413.55,4447,4392.64,4428.79,114156.33,504317991.3894
2025-08-16 00:00:00+08:00,4428.79,4432.67,4375.2,4388.71,128340.96,563733948.0174
2025-08-16 00:15:00+08:00,4388.71,4406.65,4368.88,4394.27,56929.53,249664289.14185
2025-08-16 00:30:00+08:00,4394.27,4420.44,4393.19,4400.66,35978.31,158663445.3777
2025-08-16 00:45:00+08:00,4400.66,4426.5,4400.2,4413.9,42355.635,186995606.4525
2025-08-16 01:00:00+08:00,4413.9,4422.85,4385.48,4387.01,25708.785,113268224.10135
2025-08-16 01:15:00+08:00,4387.01,4436.44,4372,4428.99,68389.185,301422187.5618
2025-08-16 01:30:00+08:00,4428.99,4453.73,4415.41,4452.03,80316,356061736.11705
2025-08-16 01:45:00+08:00,4452.03,4462.17,4428.39,4437.02,44291.805,196838536.76055
2025-08-16 02:00:00+08:00,4437.02,4451.38,4417.27,4428.01,23960.43,106228677.234
2025-08-16 02:15:00+08:00,4428.01,4431.38,4412.4,4414.47,18257.985,80716476.84345
2025-08-16 02:30:00+08:00,4414.47,4430,4401.84,4403.6,21039.09,92826156.591
2025-08-16 02:45:00+08:00,4403.6,4416.93,4378.14,4394.68,66399.81,292021034.67915
2025-08-16 03:00:00+08:00,4394.68,4408.89,4373.5,4406.66,42577.86,186765954.08835
2025-08-16 03:15:00+08:00,4406.66,4423.56,4391.38,4398.84,39391.05,173627430.7383
2025-08-16 03:30:00+08:00,4398.84,4408.8,4388.02,4393.48,22783.125,100177399.70925
2025-08-16 03:45:00+08:00,4393.48,4400.9,4375.75,4381.49,19913.445,87335824.4937
2025-08-16 04:00:00+08:00,4381.49,4406.63,4365.65,4405.89,39273.705,172136853.63075
2025-08-16 04:15:00+08:00,4405.89,4418.75,4400.23,4416.16,15568.92,68655015.5469
2025-08-16 04:30:00+08:00,4416.16,4430.96,4401.86,4401.87,24843.18,109733363.6076
2025-08-16 04:45:00+08:00,4401.87,4426.55,4400.01,4423.77,13977.54,61679366.79525
