timestamp,open,high,low,close,volume,Denominated_Coin_Volume
2025-08-15 17:15:00+08:00,0.23155,0.23159,0.22952,0.22963,22365969.6,5154218.01354
2025-08-15 17:30:00+08:00,0.22963,0.23117,0.22963,0.23109,5899016.4,1360018.25238
2025-08-15 17:45:00+08:00,0.23109,0.23145,0.22889,0.23016,24149780.4,5551623.351048
2025-08-15 18:00:00+08:00,0.23016,0.23263,0.22999,0.23136,16947964.8,3924808.217304
2025-08-15 18:15:00+08:00,0.23136,0.23285,0.23134,0.23211,9924987.6,2305761.51774
2025-08-15 18:30:00+08:00,0.23211,0.23243,0.23151,0.23155,7819666.8,1813529.60142
2025-08-15 18:45:00+08:00,0.23155,0.23179,0.23031,0.23056,10206188.4,2357938.442232
2025-08-15 19:00:00+08:00,0.23056,0.23138,0.23019,0.23069,6661980,1537888.307664
2025-08-15 19:15:00+08:00,0.23069,0.23083,0.22968,0.23024,3883384.8,894225.610428
2025-08-15 19:30:00+08:00,0.23024,0.23073,0.22959,0.23023,8177323.2,1882782.672744
2025-08-15 19:45:00+08:00,0.23023,0.23105,0.2298,0.2298,6578008.8,1515502.264764
2025-08-15 20:00:00+08:00,0.2298,0.23085,0.2295,0.23067,7103062.8,1633858.376784
2025-08-15 20:15:00+08:00,0.23067,0.23089,0.22819,0.22855,23471246.4,5374079.139336
2025-08-15 20:30:00+08:00,0.22855,0.23238,0.22715,0.23021,113182627.2,25995246.347436
2025-08-15 20:45:00+08:00,0.23021,0.23116,0.22931,0.22978,11445074.4,2639767.796472
2025-08-15 21:00:00+08:00,0.22978,0.23053,0.22875,0.22897,18928946.4,4346992.189656
2025-08-15 21:15:00+08:00,0.22897,0.22993,0.22852,0.22942,11550626.4,2649353.829312
2025-08-15 21:30:00+08:00,0.22942,0.22988,0.22671,0.22687,62322213.6,14205996.355248
2025-08-15 21:45:00+08:00,0.22687,0.22781,0.22612,0.22738,34570218,7846340.644848
2025-08-15 22:00:00+08:00,0.22738,0.2293,0.2259,0.22809,39228912,8917579.287348
2025-08-15 22:15:00+08:00,0.22809,0.22926,0.2269,0.22737,23046091.2,5248437.416616
2025-08-15 22:30:00+08:00,0.22737,0.22806,0.22668,0.22694,12488085.6,2838122.297172
2025-08-15 22:45:00+08:00,0.22694,0.22734,0.22398,0.22466,67458644.4,15197277.934572
2025-08-15 23:00:00+08:00,0.22466,0.225,0.22301,0.22461,54004452.3,12097778.903103
2025-08-15 23:15:00+08:00,0.22461,0.22578,0.22244,0.22277,82600249.5,18507216.6597
2025-08-15 23:30:00+08:00,0.22277,0.22438,0.22138,0.22163,26411065.5,5883034.07682
2025-08-15 23:45:00+08:00,0.22163,0.22341,0.22098,0.22238,45413997,10092272.790405
2025-08-16 00:00:00+08:00,0.22238,0.22247,0.22013,0.22138,36565137,8079771.40788
2025-08-16 00:15:00+08:00,0.22138,0.22309,0.22033,0.22256,36760033.5,8145199.209285
2025-08-16 00:30:00+08:00,0.22256,0.22444,0.22242,0.22372,21424302,4795067.74992
