BINANCE_kc_smart_BTC_60_kc_smart_2_2_0.2_0.15_23.503795302395666_2350.3795302395665_1,2026-08-12 11:57:00,63758.15047135199,63758.311848156896,63758.060128391415,63757.81537337376,63759.2,63766.3,63745.6,63745.7,27.37063701420405,11.751897651197833
BINANCE_kc_smart_ETH_60_kc_smart_2_1_0.262_0.15_0.8685700534261555_86.85700534261555_1,2026-08-12 11:57:00,1884.2984706923717,1884.3232534509386,1884.338040511316,1884.3527327784186,1885.11,1885.55,1885.07,1885.08,14.851719242554566,0.4342850267130777
OKX_kc_smart_BTC_60_kc_smart_2_2_0.2_0.15_20.229151628971213_2022.9151628971213_1,2026-08-12 11:57:00,63759.658532959176,63759.772225375826,63759.578715962445,63759.391018616654,63760.5,63765.4,63750.0,63750.1,25.660118925747895,10.114575814485606
OKX_kc_smart_ETH_60_kc_smart_2_1_0.262_0.15_0.7883586405368446_78.83586405368446_1,2026-08-12 11:57:00,1884.3220462342128,1884.3491344275947,1884.3675674092265,1884.385437361519,1885.2,1885.69,1885.28,1885.27,16.56437941811093,0.3941793202684223
BINANCE_kc_smart_BTC_60_kc_smart_2_2_0.2_0.15_24.075223873824235_2407.5223873824234_1,2026-08-12 11:57:00,63758.15047135199,63758.311848156896,63758.060128391415,63757.89458129455,63759.2,63766.3,63745.6,63749.7,27.37063701420405,12.037611936912118
OKX_kc_smart_BTC_60_kc_smart_2_2_0.2_0.15_20.38629448611386_2038.6294486113861_1,2026-08-12 11:57:00,63759.658532959176,63759.772225375826,63759.578715962445,63759.41280079487,63760.5,63765.4,63750.0,63751.2,25.660118925747895,10.19314724305693
OKX_kc_smart_ETH_60_kc_smart_2_1_0.262_0.15_0.7969300691082654_79.69300691082654_1,2026-08-12 11:57:00,1884.3220462342128,1884.3491344275947,1884.3675674092265,1884.3866254803308,1885.2,1885.69,1885.28,1885.33,16.564379418110928,0.3984650345541327
BINANCE_kc_smart_BTC_60_kc_smart_2_1_0.2_0.15_27.846652445253017_2784.6652445253017_1,2026-08-12 11:57:00,63758.15047135199,63758.311848156896,63758.060128391415,63758.40151198762,63759.2,63766.3,63745.6,63775.3,25.375680152683877,13.923326222626509
OKX_kc_smart_BTC_60_kc_smart_2_1_0.2_0.15_24.072008771828564_2407.2008771828564_1,2026-08-12 11:57:00,63759.658532959176,63759.772225375826,63759.578715962445,63759.92369188398,63760.5,63765.4,63750.0,63777.0,23.328916285462522,12.036004385914282
BINANCE_kc_smart_ETH_60_kc_smart_2_1_0.262_0.15_0.8223165099873493_82.23165099873493_1,2026-08-12 12:05:00,1884.5380006102505,1884.5788322813346,1884.623013820318,1884.6589937446681,1886.39,1886.6,1886.81,1886.44,22.634907329244314,0.41115825499367464
OKX_kc_smart_ETH_60_kc_smart_2_1_0.262_0.15_0.8112738174516722_81.12738174516721_1,2026-08-12 12:05:00,1884.5829966147774,1884.6282838105244,1884.6762385865536,1884.7143328719683,1886.56,1886.87,1887.05,1886.6,31.31447483191347,0.4056369087258361
